,TEEMO,YASUO,BLITZCRANK,VAYNE,ZED,RIVEN,YUUMI
0,False,True,False,True,False,True,True
1,True,True,False,True,True,False,True
2,True,True,False,False,True,False,False
3,True,False,True,True,True,False,True
4,True,False,True,False,True,False,True
5,False,True,True,False,False,False,True
6,True,False,True,True,False,True,True
7,True,True,False,True,False,True,True
8,True,False,True,False,True,False,True
9,True,False,True,True,False,False,True
10,False,True,True,True,True,False,False
11,False,True,True,True,True,True,False
12,True,True,False,True,False,False,True
13,True,False,True,False,True,False,True
14,False,True,True,False,False,False,True
15,True,False,False,True,True,False,True
16,True,True,True,False,True,True,False
17,True,True,True,True,True,False,False
18,True,False,True,False,True,True,False
19,True,False,True,True,False,True,True
